variation	verified_reviews	rating	date	feedback
echo show 10	The sound quality is good and operates just as you would expect from an echo speaker. The screen was expected to be more like a fire tablet and it is not. The OS is very much locked down. I can browse for my favorite recipe sites or download apps. It is limited to the offered widgets.	3	October 10, 2022	1
echo show 10	Awesome device! Love that you can do so much with this device such as listen to music, watch TV while you're cooking in the kitchen or washing dishes. Definitely would recommend.	5	October 10, 2022	1
echo show 10	I’m still getting use to all of the useful benefits to having an Echo Show. I have placed it on the counter in my kitchen	5	October 10, 2022	1
echo show 10	We love it!!	5	October 9, 2022	1
echo show 10	Love it	5	October 9, 2022	1
echo show 10	Display is awesome. You can see it from across the room.  It has vibrant colors. You can’t go wrong	5	October 9, 2022	1
echo show 10	Easy to use, easy set up and sound quality is awesome	5	October 9, 2022	1
echo show 10	I thought I’d enjoy this product because I’ve owned Alexa speakers but my biggest pet peeve with this Show is it won’t sleep after ten minutes. I don’t like walking into an empty room and seeing the screen on. Very annoying. I hardly use the Alexa show because of this reason. I purchased 3 and they all do this.I know I can say “screen off” but when there’s supposed to be a sleep setting, I’m expecting the device to eventually sleep when not in use.Also, It would be great if this device had the cast option.	1	October 9, 2022	0
echo show 10	Once you get used to being followed around, it's awesome. Love it.	5	October 8, 2022	1
echo show 10	So much to do on this gadget!  So far a lot of music and a lot of questions!!	5	October 8, 2022	1
echo show 10	Got this to replace an Echo Show 8.  It has great sound and the screen is as big as the one it replaces.  At first I was enamored with the pivoting screen but after a few days it became annoying.  Luckily you can shut that off.	5	October 8, 2022	1
echo show 10	I purchased this product hoping it would give me a wow factor.  Did not meet my expectations or maybe I got a faulty one.  At times does not recognize commands then I find myself repeating it over and over again.  When I play music the lyrics are off at times does not follow properly.  Opening and closing apps huge problem.  When I want it to stop it doesn't.  Not happy and not worth the money paid for it.	1	October 8, 2022	0
echo show 10	I used to listen music and camara	5	October 8, 2022	1
echo show 10	I bought two and ended up buying one for my daughter out of state. I love the screen quality and we video chat together on this. Great value and love that you can pull up your ring cameras and see each location. Search recipes, set alarms, appointments exc. Great value	5	October 8, 2022	1
echo show 10	"I wasn't sure how I would like this given some of the reviews, but this device is pretty great. Not only can I look up recipes, keep time, and watch shows while in the kitchen now. But I can also creep in on my cats when I'm away and see what they're up to while I'm away (always on the counter when I'm not here apparently...jerks!). I also love that I can connect this to my personal calendar. I am one of those people who live by my calendar so I love that it tells me what's happening day to day and coming up. I've also never really used routines until i got this device. They're pretty cool when you have a screen to leverage.The 1 major flaw, which many others have noted in their reviews, is the placement of the camera and how that affects the ""follow my face"" feature. Because the camera is located in the right upper corner it does not seem to ""follow"" very well and constantly bumps into things. I did try to adjust the ""follow"" range, and that did not work very well so I eventually just turned it off to avoid more frustration. In all fairness, it's a cool idea but not at all necessary."	4	October 7, 2022	1
echo show 10	Tried for several days to connect to the phone app but the Alexas 10(3 gen) does not wan to be discovered. So I'm going to reset the Alexa 10 and if that does not work I may have to restart the Phone App.	3	October 7, 2022	1
echo show 10	I own one Echo Studio, two Echo Show 8s, two Echo Show 5s, and one Echo Show 10. The Echo Show 10 is by far the one I enjoy the most. The Echo Studio sounds the best, but the screen that follows you around the room on the 10 is totally awesome! Highly recommended!	5	October 7, 2022	1
echo show 10	Great for the kitchen. Integrated with Ring cameras and doorbell works perfectly	5	October 7, 2022	1
echo show 10	When asking a question,you have to say Alexa,! pause for a few seconds and then ask question ,I also have a levono and it’s ask  a  question anda will get a quick response	3	October 6, 2022	1
echo show 10	Es realmente funcional	5	October 6, 2022	1
echo show 10	Great product. Video tracking a little creepy	5	October 6, 2022	1
echo show 10	The microphone doesn’t work properly.The Bluetooth doesn’t work it’s making noise and static.The speakers doesn’t sound good. My echo show 8 has double and better sound quality.I try to exchange it but they didn’t allowed me. Now the speaker is seating there in the box like trash.	1	October 6, 2022	0
echo show 10	Best	5	October 6, 2022	1
echo show 10	Asside from looking the wrong way sometimes she works great	5	October 6, 2022	1
echo show 10	The sound quality is great 👍	5	October 6, 2022	1
echo show 10	I like the fact,  that anything you ask Alexa...you will get	5	October 5, 2022	1
echo show 10	Para los que aser es de la casa	5	October 5, 2022	1
echo show 10	Muy buena tecnologia, espero sea muy duradera.	5	October 5, 2022	1
echo show 10	The camera never worked	1	October 5, 2022	0
echo show 10	Sound coming out of this 250.00 10th generation is no near what they claim, the screen doesn’t track if there isn’t a lot of light around it, I have first generation that works better than this one	2	October 4, 2022	0
echo show 10	We have bit in our kitchen/dining room to use for recipes, music, calling  family and information.	5	October 3, 2022	1
echo show 10	Protecting my family	5	October 3, 2022	1
echo show 10	Way too many bugs - screen hangs every now and then, the screen fails to detect people in the room and turn according, very slow performance. Most of the times, I’m playing the device and the screens looking the other way!	1	October 3, 2022	0
echo show 10	Para mi casa	5	October 3, 2022	1
echo show 10	It sounds so good! Love every aspect and function of the unit. We use continually throughout entire day! Great for keeping recipes!It projects other albums we might be interested in. They are spot on. Not sure how one lives without! Cheers!	5	October 3, 2022	1
echo show 10	Welcome addition!	5	October 3, 2022	1
echo show 10	It's Ok	5	October 2, 2022	1
echo show 10	Great addition to the house	5	October 2, 2022	1
echo show 10	"I had the very first echo in my kitchen and this was the replacement for it. What used to just be the ""Alexa, what's the forecast"" or ""Alexa, add eggs to the shopping list."" became so much more.Regularly this device becomes used like a Karaoke machine where the lyrics scrolling through the screen has the whole family singing along with their favorites.We also use this to call my sister and her family for video calls. The audio quality is very good and the tracking on the camera is fun for the kids...Seeing on a screen, at a glance, what Amazon is delivering next, or the 10-day forecast is pretty handy as well.Overall this has been a welcome replacement to old reliable, an upgrade in every way other than maybe it takes up more counter space than the original."	5	October 2, 2022	1
echo show 10	I love my new echo show its a great device .	5	October 2, 2022	1
echo show 10	It’s so easy to set up and use. The speaker sounds great and the automatic movement to keep up with your video chats is the best .	5	October 2, 2022	1
echo show 10	Like the Alexa it was replacing it does not respond well to voice commands. All other Alexa’s I. The house work properly.	2	October 2, 2022	0
echo show 10	Love the big screen and seeing family and friends. Great Quality. It’s better than trying to take a picture to show someone something and even looking at your grandkids or damn looking at family then looking on the phone.	5	October 2, 2022	1
echo show 10	I really enjoy my Alexa. I have conversations, play my music, watch Hulu and so much more.	5	October 2, 2022	1
echo show 10	If I could get it to work for the purpose I purchased it perhaps I could say something better but now I’m stuck with something that isn’t even in my home and can’t return it now that it does not work.  Really wish it would just work	1	October 2, 2022	0
echo show 10	Me gusta mucho el producto , lo que el cable de la alimentación debería ser negro igual al producto, es muy fabuloso el echo , a mi mamá le gusta , puede ver videos musicales , hacer llamadas , es impresionante 💯	3	October 2, 2022	1
echo show 10	I have had 3 echo shows one gen 2 and two gen 3. All of them fail to respond to voice command in the end.  I also want to say, that amazon would not let me leave a review from the replacement item order they sent me. I believe this is to hide their flaws and discourage honest reviews	1	October 1, 2022	0
echo show 10	The screen and sound quality are very impressive and I use it a lot for listening to music. I also like that you can drop in to the device away from home and swivel around, great for checking in on my dogs! Although the swivel controls are a bit janky.The functionality that lets the Alexa follow you is pretty cool however I’ve noticed it will start following other people in the room too so that can be annoying if you’re trying to follow a recipe! Luckily you can turn the tracking off to avoid this.	5	October 1, 2022	1
echo show 10	I mean, look at it.	4	October 1, 2022	1
echo show 10	This one of the worst Amazon products we have ever purchased. We bought it specifically for the Nanit compatibility. It doesn’t work with that function at ALL. On top of that, it almost never listens to us. We have to say things up to 6+ times sometimes defeating the purpose of having a voice command. It’s often easier to get up and turn the lights on or off. I’ve had to unplug it before because it would not listen to turn off the music. It’s incredibly frustrating. I would recommend any other Alexa but not this one.	2	October 1, 2022	0
echo show 10	So glitchy I can’t figure out why. Stops randomly, moves without the camera on. Alexa is non responsive all the time and won’t work with my lightbulbs. Very frustrating	2	September 30, 2022	0
echo show 10	I asked for this for my birthday and so glad my kids got it for me.  I absolutely love this thing....couldn't get it to follow my voice at first so i gave up, but somehow now its working as designed...	5	September 30, 2022	1
echo show 10	I love my Alexa . Would definitely recommend this item. Worth the price. I love the big touch screen. And it’s So easy to use .	5	September 29, 2022	1
echo show 10	N/A	5	September 29, 2022	1
echo show 10	I really like Alexa, but sometimes she just doesn't understand no matter how you say it. Frustrating!	5	September 29, 2022	1
echo show 10	We bought this to replace an original Echo Show that died out. I thought getting this would be getting a top of the line option, but it's been anything but. Frequently, even though it's in the exact same spot as our old Show, this will not hear us. The times that it does hear us, it will misunderstand us WAY more often than any other Echo we have in the house. Also, since we end up shouting at it to hear us, I have noticed that very often the other Echos in our house will activate and start playing or set a timer in another room, which is something I don't remember ever happening with the previous Echo. I'm going to try and reset this thing to factory defaults again and see if that fixes anything, but to this point this thing has been a huge downgrade from the previous version.	1	September 28, 2022	0
echo show 10	This show is awesome! We have so much fun with her as a family. She can take pictures you can use it as a camera when away from the house and the sound quality is great! My Grandchild can even call out songs she wants and Alexa gets it playing. Picture / screen quality is great as well. One app that I use often for recipes isn't very user friendly and it doesn't connect to my account but everything else is awesome. Very glad we made the purchase!	5	September 28, 2022	1
echo show 10	I like that I can request any music I want to hear and the words to the song appears upon the screen and the music is not interrupted my advertisement.	5	September 28, 2022	1
echo show 10	I have like 6 different alexas now... this is the most expensive and the less responsive, I put this one in the kitchen and sometimes the little echo dot on my bedroom 1st Gen will get and understand the orders before this monster even when I'm just in front of this one trying to give an order	2	September 28, 2022	0
echo show 10	Can I give 0 star? Product don't work is continue to freeze on amazon logo and don't complete the boot, I am unable to find a support on amazon/alexa website to complain about this issue.	1	September 28, 2022	0
echo show 10	Lo tengo como mi asistente y compañía en la cocina...me ayuda con lo q debo anotar para volver a comprar....m da el resumen de noticias y me relaja con música clásica mi favorita cuando estoy largo tiempo en la cocina...también m recuerda mis citas médicas y mis pagos o compromisos programados y desde mi celular puedo monitoreos mi apto. Cuando estoy fuera de manera remota .observo q hace mi mascota mientras no estoy..reza conmigo diario los misterios del Santo Rosario....traduce de igles a español y viceversa...Es genial!!!!	4	September 27, 2022	1
echo show 10	"The novelty of Alexa Echo Show following your face or finding you in the room is interesting (at least once the initial absolute terror and creepiness wears off.) Nevertheless, practically, the face follow is a bit of a mess with video calling. My mother moves her body, in a kind of rocking manner when she speaks and she gesticulates with her hands frequently. Poor Echo Show trying to follow her makes you feel like you are in a new installment of Blair Witch Project. Zoom in, zoom out, move left move right, where are we? It is very distracting. I also find that the camera quality is terrible. Maybe because she's moving so much she never gets time to focus? So although the moving camera is novel, the execution leaves a lot lacking.Overall, Alexa seems to take triple the time to respond on the new Echo vs the Gen 2 Echo. Really? I don't know why. Same internet, same location. She's slow.... Basically she's quietly saying ""patience young padawan... You MUST learn patience""Also my mom SWEARS that the screen quality is less than her Gen 2 Echo. But she has dementia and failing eyesight so... I don't think I see any difference.Pros of the new echo:Built in privacy shieldCapability to join ZoomIt moves to find your face when you are anywhere in the room360 speakerEven more streaming integration optionsConsSlow to respond, Alexa forgets what she's doing a lot (maybe it's just her company?)Waves about wildly in video conference unless the speaker initiates ""statue mode"" while speakingSlightly unstable base (compared to the Gen 2)Would I buy it again? Part of me wishes I just got the giant TV Alexa but I don't think my mother would have been able to handle that much change at once. Overall, it's not annoying enough to return it or try to get my Gen 2 Echo back, but at the same time, there's lots of ""meh"" feelings going around.That's a wrap!"	3	September 27, 2022	1
echo show 10	It took a long time for the software update, over an hour, in fact it kept failing.  Finally when it updated, it would not respond when I spoke to it.  Stupid to have these issues for being so expensive!	1	September 27, 2022	0
echo show 10	Overall a good. But needs some refinement.....To slow to power up, on/off button must be held up to 5 seconds.  Bazel is ugly.  Period! Clock display & date could be be better. And Amazon needs to stop turning off my music. I'll  decide when to do that.....You listening Amazon!....???  Skip1911	4	September 27, 2022	1
echo show 10	No funciona pague 275 dólares y no tiene ni una semana de tenerlo en casa porfavor quisiera mi revolado	1	September 27, 2022	0
echo show 10	I was so excited about this latest ECHO product. I really wanted to love it!! It did not do ANYTHING as advertised. So disappointed. Machine malfunctioned immediately ...so I returned immediately. Prior to returning I purchased the ECHO SHOW model previous to this one. ECHO 8...I immediately can tell the difference between the two products. Newer version has many many kinks to be worked out should not be on the market yet ...its like an unfinished project. Previous model soooooooooo much better!!!! Thank GOD!!! It also cost way less.	1	September 27, 2022	0
echo show 10	I frequently have to repeat commands multiple times because this device does not respond to them. The previous generations worked better.	3	September 26, 2022	1
echo show 10	Pretty loud nd it’s like having a moving apple iPad in the kitchen	5	September 26, 2022	1
echo show 10	Useless	1	September 26, 2022	0
echo show 10	Cant se the camera on live view	1	September 26, 2022	0
echo show 10	Perfecto	5	September 25, 2022	1
echo show 10	The movement feature is a little glitchy or Overreactive. But great device	4	September 25, 2022	1
echo show 10	Alexa is horrible this is a new generation and I was expecting a lot more but even if I ask her for the simplest of things she doesn’t get it. I asked her to play Thursday night football and she puts on a stupid movie. Ask her to play a song and she puts the wrong song. This is honestly a waste of money I’m contemplating returning it	1	September 25, 2022	0
echo show 10	I already had 2 of the echo show 8. One is set up in my kids’ room as their alarm clock and of course for curiosity questions within reason. The other is in my mother’s room that she likes to play music through. I purchased the echo show 10 for when I’m working and especially holidays, so I can watch movies while I work. Also, I listen to podcasts as well. The screen is literally the size of my iPad and the sound is incredible.	5	September 25, 2022	1
echo show 10	I like everything!	5	September 25, 2022	1
echo show 10	Love the drop in feature for dropping in on my kids, and Alexa is the whole families personal assistant, from tuning up the jams, keep track of the shopping list or spitting out random facts, we love Alexa and our Echo 10	5	September 24, 2022	1
echo show 10	As a larger screen Alexa, this works really well. Bright display, little to no lag and great sound.  Camera image is also quite good.Where it gets a bit pokey is the following feature. It gets lost some times, trying to find me. Loud noises makes it turn in the wrong direction. And sometimes it just refuses.So if you buy this, note that it’s not going to be without an occasional glitch.  If you can tolerate that, this is pretty cool. If you’re looking for a flawless execution, look elsewhere.	4	September 24, 2022	1
echo show 10	The UI is poor and while it seems straightforward, most of the features are laggy and it takes too many steps to get simple tasks done. Idea is great, but UI and execution puts it down.I missed the return window so can’t even return the $#%!y device	1	September 24, 2022	0
echo show 10	"I bought this Show device mainly for displaying photos. Having never used Amazon Photos previously, I was pleasantly surprised to see the near seamless integration between the service and my Echo Shows. I have a special album to which I upload select photos, and it turns up on the Show! My family and I love this feature. The rotating screen is adorable - we love seeing the current song playing, and the ability to remotely monitor the room is great as well. Sound quality is very good. Overall - very impressed with the device. There are some software issues occasionally, and the random occasional movie ""sponsored"" ads that turn up mysteriously are annoying. But if you spend enough time setting up the device and working through the issues, it's a fantastic device and a really useful addition to our family. Do not expect it to be plug-and-play - it does take some time to setup (and troubleshoot)."	5	September 23, 2022	1
echo show 10	I'm a little jealous the Echo Show 10 has quickly became the family's newest companion!	5	September 23, 2022	1
echo show 10	No support to zoom meetings	3	September 23, 2022	1
echo show 10	We mainly use this device to monitor our grandson while he is sleeping. Video is very clear. We really like how the screen follows us around which makes it easier to see him.	5	September 23, 2022	1
echo show 10	This Echo Show is amazing. I have it on my kitchen counter and it is big help when trying new recipes, since it can read you the ingredients and steps just by asking it to do so. It also keeps me up to day with my YouTube shows and videos while I am cooking. A total game changer!	5	September 22, 2022	1
echo show 10	We upgraded from the ORIGINAL echo and WHAT A DIFFERENCE!  Our old echo was beginning to get hard of hearing but is still a VERY reliable device. We moved the old to another room and use the NEW in the family area. Love it	5	September 22, 2022	1
echo show 10	I was looking for a home intercom to announce dinner was ready.  My previous system ceased to be supported.  All online reviews pointed to the Echo Show 10.  I thought it was more than we needed, but I ordered that for the kitchen, and the Echo Dot for my basement where I spend a lot of time at my workbench.  The Echo Show 10 arrived promptly and was well packaged.  The setup was surprisingly easy.  I chose to have the background run pictures of nature, and they are really nice and sharp.  The screen moves from left to right to follow whomever is interacting with it.  I want to see if I can figure out how to make a video call with it.	5	September 22, 2022	1
echo show 10	It's weird at first, but the fact that it follows you around and you're not tied to it is very freeing! You can still make dinner, clean or whatever and still talk!	5	September 22, 2022	1
echo show 10	Enjoyable	5	September 22, 2022	1
echo show 10	Es un animador para toda mi familia. Mis hijos en la mañana se despiertan con los chistes diarios, mi esposa al estar cocinando o haciendo otras cosas activa las noticias o algo de música. A mi me gusta la reproducción de las diferentes estaciones de música que nos ofrece Amazon Music.	5	September 22, 2022	1
echo show 10	Maravillosa	5	September 22, 2022	1
echo show 10	I have it in the kitchen and thats basically where I order all my orders from, the kids love talking to that box and the motion sensor is on point. I will be buying more of this product in the future	5	September 22, 2022	1
echo show 10	My echo 5 had no issue responding to me when I said “Alexa”. I feel like I’m yelling to get her to respond! So frustrating.	2	September 22, 2022	0
echo show 10	Todo me gusto	5	September 21, 2022	1
echo show 10	Original 2 star - I have a household full of Amazon products and Echo devices. Sadly this premium product that I really liked failed to connect to the home wireless just past the warranty period. I've tried a reset of the device, reset of the modem, and reset of the hub to no avail.Update - Support called me within 5 minutes of posting a bad review. They walked thru another reset while monitoring the device, and fixed the issue.  Appreciated the quick proactive action!	5	September 21, 2022	1
echo show 10	Tiene buen sonido, calidad de pantalla no es tan buena para el precio que tiene (baja resolución)	5	September 21, 2022	1
echo show 10	I integrated Elena with Ring and thermostat devices. It has made things much simpler. I have start using more of the skills. I really like the size of the screen. The screen quality is amazing. I have started having Alexa look for recipes and show videos of them. The more I use it the more I like it.	5	September 21, 2022	1
echo show 10	I like the picture (clear)	4	September 20, 2022	1
echo show 10	I spend a lot of time in my kitchen and usually I’m alone but now with my Echo Show I am enjoying myself with my new playlists and news	5	September 20, 2022	1
echo show 10	So far everything is just like I imagined	5	September 19, 2022	1
echo show 10	I love the photo display and music sounds amazing	4	September 19, 2022	1
